depth,opponent,flatmc_wr%,wr_std%,avg_turns,turn_std,cq%,cs%,tb%,time_sec
32,Builder,88.4,1.0,142.5,17.3,87,1,1,245.6
32,Builder,88.4,1.0,142.5,17.3,87,1,1,219.4
32,StateAware,93.7,0.8,117.7,14.1,92,2,0,196.7
32,StateAware,93.7,0.8,117.7,14.1,92,2,0,184.5
32,AlwaysWhite,90.5,0.9,136.1,16.1,78,7,6,259.3
32,AlwaysWhite,90.5,0.9,136.1,16.1,78,7,6,266.4
40,Builder,94.8,0.7,136.5,15.5,92,1,2,280.0
40,Builder,94.8,0.7,136.5,15.5,92,1,2,275.4
40,StateAware,93.2,0.8,120.5,14.1,90,3,0,219.0
40,StateAware,93.2,0.8,120.5,14.1,90,3,0,223.4
